transaction_id,transaction_date,employee_id,employee_name,email,department,category,merchant,amount_usd,currency,policy_limit_usd,policy_violation,notes
TXN-00398,2024-01-01,EMP-1106,Leah Webb,leah.webb@brex-demo.com,Sales,Meals & Entertainment,Seamless,56.51,USD,150,False,None throw must issue whatever fine prove.
TXN-00466,2024-01-01,EMP-4582,Christopher Hall,christopher.hall@brex-demo.com,Marketing,Advertising,Google Ads,5581.98,USD,10000,False,Agent court quality where listen.
TXN-00717,2024-01-01,EMP-7924,Adam Shea,adam.shea@brex-demo.com,Sales,Professional Services,Local Law Firm LLP,3718.12,USD,5000,False,
TXN-01103,2024-01-01,EMP-3615,Antonio Li,antonio.li@brex-demo.com,Sales,Travel & Lodging,Enterprise Rent-A-Car,3303.63,USD,3000,True,Military everything environmental condition much career child government.
TXN-01384,2024-01-01,EMP-3615,Antonio Li,antonio.li@brex-demo.com,Sales,Advertising,Google Ads,10813.95,USD,10000,True,
TXN-01508,2024-01-01,EMP-9279,Amber Williams,amber.williams@brex-demo.com,Marketing,Advertising,LinkedIn Ads,10734.87,USD,10000,True,Account member final box player.
TXN-01684,2024-01-01,EMP-4527,Nathaniel Carney,nathaniel.carney@brex-demo.com,Sales,Meals & Entertainment,Grubhub,243.02,USD,150,True,
TXN-01766,2024-01-01,EMP-2519,Cody Wilson,cody.wilson@brex-demo.com,Finance,Hardware,B&H Photo,574.0,USD,2500,False,
TXN-01925,2024-01-01,EMP-2424,Caroline Edwards,caroline.edwards@brex-demo.com,Engineering,Software & SaaS,Snowflake,951.05,USD,1000,False,
TXN-02082,2024-01-01,EMP-2519,Cody Wilson,cody.wilson@brex-demo.com,Finance,Professional Services,Accenture,7188.07,USD,5000,True,
TXN-02368,2024-01-01,EMP-9928,Paul Cooke,paul.cooke@brex-demo.com,Marketing,Advertising,LinkedIn Ads,12621.58,USD,10000,True,
TXN-02376,2024-01-01,EMP-2824,Ryan Hines,ryan.hines@brex-demo.com,Engineering,Hardware,Dell Technologies,534.52,USD,2500,False,Cell spring allow response discover add cause traditional walk near.
TXN-02510,2024-01-01,EMP-5506,Laura Ross,laura.ross@brex-demo.com,Engineering,Hardware,CDW,790.74,USD,2500,False,At season another develop perform free near condition.
